Слово,Транскрипция,Перевод
厨房,chúfáng,кухня
除了,chúle,кроме; помимо; кроме как; за исключением
穿,chuān,пронзить; пробить; одевать; надевать
船,chuán,"судно, корабль; пароход; лодка"
春,chūn,весна; весенний
词语,cíyǔ,обороты речи; выражения
次,cì,следующий; второй; раз
聪明,cōngming,умный; способный
从,cóng,из; от; с
错,cuò,неправильный; ошибочный; ошибаться; ошибочно
打电话,dǎ diànhuà,звонить по телефону
打篮球,dǎlánqiú,играть в баскетбол
打扫,dǎsǎo,подметать; убирать
打算,dǎsuan,"рассчитывать, предполагать, намереваться; намерение"
大,dà,большой; крупный; великий; огромный
大家,dàjiā,все; все вместе
带,dài,иметь при себе; захватить [взять с собой]
担心,dānxīn,"беспокоиться, тревожиться; опасаться"
蛋糕,dàngāo,"пирожное, бисквит"
但是,dànshì,но; однако; тем не менее
当然,dāngrán,"конечно, естественно"
到,dào,достигать; прибывать; до
地,de,показатель обстоятельства образа действия
的,de,суффикс прилагательного; суффикс притяжательности
得,de,"показатель обстоятельства, следующего за сказуемым"
灯,dēng,лампа; фонарь; светильник
等,děng,"ожидать, ждать"
低,dī,низкий; низко
弟弟,dìdi,младший брат
地方,dìfāng,переферия; места; местный
地铁,dìtiě,"метро, метрополитен"
地图,dìtú,карта (географическая)
第一,dìyī,первый; во-первых; первейший; номер один
点,diǎn,"капля; немножко, чуточку; точка; запятая"
电脑,diànnǎo,компьютер
电视,diànshì,телевидение; телевизионный
电梯,diàntī,лифт; эскалатор
电影,diànyǐng,кино
电子邮件,diànzǐ yóujiàn,"электронная почта, E-mail"
东,dōng,восток; восточный
东西,dōngxi,вещь; предмет
冬,dōng,зима; зимний
懂,dǒng,"понять, уразуметь"
动物,dòngwù,животное; животный
都,dōu,все; всё
读,dú,читать; зачитывать
短,duǎn,короткий; краткий
段,duàn,отрезок; кусок; часть
锻炼,duànliàn,закаливать; закалка
对,duì,"пара; правильный, верный; правильно!, верно!"
对不起,duìbuqǐ,"виноват!, простите!, извините!"
多,duō,много; многочисленный; свыше
多么,duōme,"так, до такой степени; насколько же...!"
多少,duōshao,сколько?
饿,è,быть голодным; голодать; голод
而且,érqiě,"к тому же, притом"
儿子,érzi,сын
耳朵,ěrduo,ухо
二,èr,два; второй
发烧,fāshāo,температурить; температура; жар
发现,fāxiàn,обнаружить; заметить
饭馆,fànguǎn,ресторан; столовая
方便,fāngbiàn,удобный; удобство
房间,fángjiān,комната; номер
放,fàng,"отпускать; выпускать, освобождать; ставить; класть"
放心,fàngxīn,"не беспокоиться, быть спокойным; успокоиться"
非常,fēicháng,чрезвычайный; необыкновенный
飞机,fēijī,самолёт
分,fēn,делить(ся); разделять(ся); минута
分钟,fēnzhōng,минута
服务员,fúwùyuán,обслуживающий персонал; официант
附近,fùjìn,"окрестности; вблизи, около"
复习,fùxí,повторять (пройденное); повторение
干净,gānjìng,чистый; опрятный
敢,gǎn,сметь; осмелиться; мочь
感冒,gǎnmào,простудиться; простудное заболевание
刚才,gāngcái,только что
高,gāo,высокий; высший (об образовании)
高兴,gāoxìng,радоваться; радостный
告诉,gàosu,сказать; сообщить
哥哥,gēge,старший брат
个,gè,универсальное сч. сл.; отдельный; индивидуальный
给,gěi,давать; предоставлять
跟,gēn,и; с; за; у
根据,gēnjù,согласно; на основании; в соответствии с; по
更,gèng,ещё; ещё более; тем более
公共汽车,gōnggòng qìchē,автобус
公斤,gōngjīn,килограмм
公司,gōngsī,компания; фирма
公园,gōngyuán,парк
工作,gōngzuò,работать; работа
狗,gǒu,собака; собачий
故事,gùshì,сказание; сказка; рассказ; история
刮风,guāfēng,дует ветер; ветрено
关,guān,"закрывать, затворять; выключать; заключить; посадить"
关系,guānxi,связь; отношение
关于,guānyú,"относительно, в отношении, что касается; об, о"
贵,guì,дорогой; ценный
国家,guójiā,государство; страна; государственный
果汁,guǒzhī,фруктовый сок
过去,guòqù,проходить; миновать
过,guò,глагольный суффикс завершённо-многократного вида; суффикс результативно-направленных глаголов
关心,guānxīn,заботиться; принимать участие в ком-либо
还,hái,ещё; всё ещё
还,huán,возвратить; вернуть; отдать
还是,háishi,ещё; всё ещё
孩子,háizi,"ребёнок, дитя"
害怕,hàipà,бояться; трусить
汉语,hànyǔ,китайский язык
好,hǎo,хороший; хорошо; приятный; удобный
好吃,hǎochī,вкусный
号,hào,название; размер; число (месяца)
喝,hē,пить
和,hé,мирный; союз и; предлог с
河,hé,река; речной
黑,hēi,чёрный; тёмный; мрачный
黑板,hēibǎn,классная доска
很,hěn,очень; весьма
红,hóng,"красный, алый"
后面,hòumiàn,"задняя сторона; зад; позади, сзади; задний"
护照,hùzhào,паспорт
花,huā,"цветок; цветы; тратить, расходовать"
花园,huāyuán,сад
画,huà,картина; рисунок; рисовать
坏,huài,плохой; негодный; дурной; испортиться; сломаться
欢迎,huānyíng,приветствовать; встречать
环境,huánjìng,окружение; среда; окружающая среда
换,huàn,менять; обменивать; разменивать
黄,huáng,жёлтый; желтеть; порнография
回,huí,возвращаться
回答,huídá,отвечать; ответ
会,huì,уметь; мочь; владеть; собрание; заседание
会议,huìyì,собрание; конференция; заседание; совещание
火车站,huǒchēzhàn,вокзал; железнодорожная станция
或者,huòzhě,"или, либо"
机场,jīchǎng,аэродром
鸡蛋,jīdàn,куриное яйцо
几乎,jīhū,почти; почти что; едва не
机会,jīhuì,"удобный случай, благоприятная возможность"
极,jí,наивысшая точка; крайность
几,jǐ,сколько?; несколько; немного
记得,jìde,помнить
季节,jìjié,сезон; пора; сезонный
家,jiā,семья; семейство; дом; домашний
检查,jiǎnchá,проверять; контролировать; осматривать
简单,jiǎndān,простой; примитивный
件,jiàn,"сч. сл. для предметов одежды, дел, вещей, документов"
健康,jiànkāng,здоровье
见面,jiànmiàn,встретиться; увидеться
讲,jiǎng,говорить; рассказывать; сказать
教,jiāo,обучать; преподавать
角,jiǎo,рог; рога; угол; уголок; угловой
脚,jiǎo,"нога, ступня; ножка (напр., стула)"
叫,jiào,кричать; крик; звать; подзывать; вызывать
教室,jiàoshì,класс; аудитория
接,jiē,получать; принимать; соединять
街道,jiēdào,улица; уличный
结婚,jiéhūn,вступить в брак; сочетаться браком; жениться; выйти замуж
结束,jiéshù,закончить(ся); завершить; кончить; заключительный
节目,jiémù,номер (программы); программа
节日,jiérì,праздник
姐姐,jiějie,старшая сестра; в обращении сестрица
解决,jiějué,"решать, разрешать (напр., проблемы); уничтожить (напр., врага)"
借,jiè,брать в долг; занимать; одалживать
介绍,jièshào,"рекомендовать; знакомить, представлять"
今天,jīntiān,сегодня; нынешний день
进,jìn,идти [продвигаться] вперёд; входить
近,jìn,"близкий, вблизи; рядом"
经常,jīngcháng,постоянный; неизменный; обычный
经过,jīngguò,"проходить (через, сквозь, мимо); через; путём, посредством"
经理,jīnglǐ,директор; управляющий; заведующий
九,jiǔ,девять; девятый
久,jiǔ,долго; давно; длительное время
旧,jiù,старый; прежний
就,jiù,"именно, как раз; сейчас же, немедленно; тогда; то; в таком случае"
举行,jǔxíng,проводить; устраивать
句子,jùzi,предложение; фраза
觉得,juéde,"чувствовать, ощущать; сознавать"
决定,juédìng,решить; определить; установить
咖啡,kāfēi,кофе
开,kāi,открывать; управлять; вести; включать
开始,kāishǐ,начинать; начало
看,kàn,смотреть; читать (про себя); навестить
看见,kànjiàn,увидеть; видеть
考试,kǎoshì,экзамен; экзамены
渴,kě,испытывать жажду; жажда
可爱,kě’ài,"достойный любви (уважения); любезный сердцу, любимый; милый, прелестный"
可能,kěnéng,возможно; вероятно
可以,kěyǐ,"можно, возможно; дозволено, разрешается"
刻,kè,четверть часа; вырезать; резать; гравировать
课,kè,урок; занятия; предмет
客人,kèrén,гость; приглашённый
空调,kōngtiáo,кондиционер
口,kǒu,рот; устный
哭,kū,плакать; оплакивать
裤子,kùzi,брюки
块,kuài,сч. сл. для основных денежных единиц; кусок; глыба
快,kuài,"быстрый, скорый; радостный, весёлый"
快乐,kuàilè,весёлый; радостный; весело
筷子,kuàizi,"куайцзы, палочки для еды"
来,lái,приходить; прибывать; приезжать
蓝,lán,синий
老,lǎo,"старый; уважаемый, почтенный"
老师,lǎoshī,учитель; преподаватель
了,le,глагольный суффикс завершенности действия
累,lèi,уставать; утомлять(ся)
冷,lěng,холодный; холодно; холод
离,lí,отстоять от; от; покидать
离开,líkāi,"оставить, покинуть; уйти (из); расстаться"
里,lǐ,внутри; в
礼物,lǐwù,подарок; подношение
历史,lìshǐ,история; исторический
脸,liǎn,лицо
练习,liànxí,"тренироваться, упражняться; упражнение"
两,liǎng,два; пара; оба
辆,liàng,сч. сл. для колёсного транспорта
了解,liǎojiě,понять; уразуметь; уяснить
邻居,línjū,сосед
零,líng,ноль; нолевой
六,liù,шесть; шестой
楼,lóu,здание; дом; этаж
路,lù,дорога; путь; улица
旅游,lǚyóu,туризм; туристический
绿,lǜ,зелёный
妈妈,māma,мама
马,mǎ,лошадь; конь
马上,mǎshàng,"тотчас, немедленно; тут же, сразу; сейчас"
吗,ma,"фразовая частица, выражающая вопрос"
买,mǎi,"покупать, приобретать"
卖,mài,продавать; торговать
满意,mǎnyì,быть довольным; довольный; удовлетворение
慢,màn,медленный; медлить; отставать
忙,máng,быть занятым; хлопотать
猫,māo,кошка
帽子,màozi,"головной убор; шапка, шляпа"
没,méi,отрицательная частица
没关系,méi guānxi,неважно; ничего; пустяки
每,měi,"каждый, всякий"
妹妹,mèimei,младшая сестра
门,mén,дверь; ворота; вход
米,mǐ,рис (очищенный); метр
米饭,mǐfàn,варёный рис
面包,miànbāo,хлеб; булка
面条,miàntiáo,лапша
明白,míngbai,понимать; понятный; очевидный; ясный
明天,míngtiān,завтра; завтрашний день
名字,míngzi,имя (человека); кличка (животного)
拿,ná,брать; взять; держать
哪,nǎ,какой; который
那,nà,"тот; то; тогда, в таком случае"
奶奶,nǎinai,бабушка
南,nán,юг; южный
男人,nánrén,мужчина
难,nán,трудный; тяжёлый; трудно; трудность
难过,nánguò,трудно [тяжело] жить
呢,ne,"фразовая частица, выражающая вопрос же?"
能,néng,способный; способность
你,nǐ,ты; вы; твой; ваш
年,nián,год; годы
年级,niánjí,"класс, курс"
年轻,niánqīng,молодой; молодость
鸟,niǎo,птица; птицы
您,nín,"Вы, Ваш"
牛奶,niúnǎi,молоко; молочный
努力,nǔlì,прилагать усилия; стараться
女儿,nǚ’er,дочь
女人,nǚrén,женщина
爬山,páshān,восходить на горы; альпинизм
盘子,pánzi,тарелка; блюдо; поднос
旁边,pángbiān,сбоку; рядом; около
胖,pàng,толстый; полный; тучный
跑步,pǎobù,бег
朋友,péngyou,"друг, товарищ; друзья"
啤酒,píjiǔ,пиво
便宜,piányi,дешёвый
票,piào,билет; талон; квитанция
漂亮,piàoliang,красивый
苹果,píngguǒ,яблоко
葡萄,pútao,виноград
普通话,pǔtōnghuà,путунхуа
七,qī,семь; седьмой
妻子,qīzi,жена
其实,qíshí,по сути же дела; на самом же деле; фактически же
其他,qítā,прочие; другие; остальные
骑,qí,сидеть верхом; ехать
奇怪,qíguài,удивительный; поразительный; удивляться; поражаться; странный
起床,qǐchuáng,встать с постели
千,qiān,тысяча; кило-
铅笔,qiānbǐ,карандаш
钱,qián,деньги
前面,qiánmian,перед; передний; впереди; перёд; выше; ранее
清楚,qīngchu,ясный; отчётливый; разборчивый
晴,qíng,"ясный, безоблачный; проясниться"
请,qǐng,просить; пожалуйста!; приглашать
秋,qiū,осень; осенний
去,qù,уходить; отправляться; идти
去年,qùnián,прошлый год
裙子,qúnzi,юбка
然后,ránhòu,"потом, затем"
让,ràng,заставлять; позволять; разрешать; уступать
热,rè,горячий; увлечение; мода
热情,rèqíng,энтузиазм; пафос; пыл
人,rén,человек; люди
认识,rènshi,знать; быть знакомым; знакомиться
认为,rènwéi,"полагать, считать"
认真,rènzhēn,серьёзный; добросовестный
日,rì,"солнце; солнечный; день; число, дата"
容易,róngyì,лёгкий; легко
如果,rúguǒ,если; если бы
三,sān,три; третий
伞,sǎn,зонтик; зонт; парашют
商店,shāngdiàn,магазин
上,shàng,верх; прошлый; на; в
上班,shàngbān,идти на работу; заступить на смену
上网,shàngwǎng,"Зайти в интернет, соединиться с сетью"
上午,shàngwǔ,до полудня
少,shǎo,мало; немного; редко
谁,"shuí, shéi",кто; кого; чей
身体,shēntǐ,тело; телосложение; здоровье
什么,shénme,"что?, что такое?; какой?; как?"
生病,shēngbìng,заболеть
生气,shēngqì,сердиться; гневаться; жизненная сила [энергия]
生日,shēngrì,день рождения
声音,shēngyīn,звук; звучание
十,shí,десять; десятый
时候,shíhou,"время, промежуток; времени; во время"
时间,shíjiān,время; промежуток времени
使,shǐ,использовать; применять
是,shì,есть; быть; являться; да; правда
世界,shìjiè,вселенная; мир; мировой
事情,shìqing,"дело, событие, инцидент; случай, факт"
手表,shǒubiǎo,наручные часы
手机,shǒujī,Мобильный (сотовый) телефон
瘦,shòu,худой; худеть; нежирный; постный
书,shū,книга
舒服,shūfu,удобный; уютный; комфортабельный
叔叔,shūshu,дядя (младший брат отца)
树,shù,дерево
数学,shùxué,математика
刷牙,shuāyá,чистка зубов
双,shuāng,пара; два; оба
水,shuǐ,вода; водяной; гидро-
水果,shuǐguǒ,фрукты; фруктовый
水平,shuǐpíng,уровень; горизонтальный
睡觉,shuìjiào,спать
说话,shuōhuà,говорить; разговаривать
司机,sījī,машинист (поезда); шофёр; водитель
四,sì,четыре; четвёртый
送,sòng,посылать; дарить; провожать
虽然,suīrán,"хотя, хоть, пусть; несмотря на то, что"
岁,suì,годы; лета
所以,suǒyǐ,потому; таким образом
他,tā,он; его
她,tā,она; её
它,tā,оно; она; он
太,tài,"слишком, чересчур; чрезвычайно"
太阳,tàiyáng,солнце; солнечный
糖,táng,"сахар, сладость, конфеты"
特别,tèbié,особый; специфический
疼,téng,больно; болит; болеть; боль
踢足球,tī zúqiú,играть в футбол
题,tí,тема; вопрос; проблема
提高,tígāo,поднять; повысить
体育,tǐyù,физкультура; спорт
天气,tiānqì,погода; климат
甜,tián,сладкий; сладко
条,tiáo,сч. сл. для длинных предметов
跳舞,tiàowǔ,танцевать; плясать
听,tīng,слушать
同事,tóngshì,"сослуживец, коллега"
同学,tóngxué,"соученик, однокашник"
同意,tóngyì,согласиться; одобрить; согласие
头发,tóufa,волосы
突然,tūrán,"вдруг, внезапно"
图书馆,túshūguǎn,библиотека
腿,tuǐ,нога; бедро
外,wài,"внешний, наружный; снаружи; вне; за"
完,wán,"закончить, завершить; кончиться"
完成,wánchéng,закончить(ся); завершить(ся)
玩,wán,играть; забавляться; гулять; развлекаться
碗,wǎn,чашка; пиала
晚上,wǎnshang,вечером; вечер
万,wàn,десять тысяч
忘记,wàngjì,забывать
喂,wèi,кормить; алло!; эй!
为,wèi,"для, ради; за"
为了,wèile,"для; ради; в целях; для того, чтобы"
为什么,wèishénme,почему; отчего; зачем
位,wèi,"место; позиция; лицо, персона"
文化,wénhuà,культура; цивилизация
问,wèn,спрашивать; справляться о чём-либо
问题,wèntí,вопрос; проблема; тема
我,wǒ,я; мой; наш
我们,wǒmen,мы; наш
五,wǔ,пять; пятый
西,xī,запад; западный
西瓜,xīguā,арбуз
希望,xīwàng,надеяться; надежда
习惯,xíguàn,привычка; обычай
洗,xǐ,мыть; стирать; купать; умывать
洗手间,xǐshǒujiān,"туалет, уборная"
洗澡,xǐzǎo,мыться; принимать ванну; купаться
喜欢,xǐhuan,нравиться; любить
下,xià,"нижний; низ; послелог под, при; следующий"
下午,xiàwǔ,"вторая половина дня, после полудня"
下雨,xiàyǔ,идёт дождь; стоит дождливая погода
夏,xià,лето; летний
先,xiān,раньше; сначала; прежде
先生,xiānsheng,господин; мистер
现在,xiànzài,теперь; сейчас; ныне
香蕉,xiāngjiāo,банан
相同,xiāngtóng,одинаковый; тождественный; идентичный
相信,xiāngxìn,верить; доверять
想,xiǎng,думать; собираться; хотеть
向,xiàng,быть обращённым к; направление; курс
像,xiàng,"внешний облик, вид; иметь сходство с"
小,xiǎo,маленький; мелкий; малый; молодой; младший
小姐,xiǎojie,барышня; мисс
小时,xiǎoshí,час
小心,xiǎoxīn,остерегаться; беречься; осторожно
笑,xiào,смеяться; смех; улыбаться; улыбка
校长,xiàozhǎng,директор школы; ректор вуза [университета]
些,xiē,"немного, несколько"
鞋,xié,туфли; ботинки; обувь
写,xiě,писать; записывать; описывать
谢谢,xièxie,"спасибо, благодарю; благодарить"
新,xīn,новый; современный; свежий
新闻,xīnwén,новости; известия; хроника
新鲜,xīnxiān,"свежий; чистый (напр., воздух); новый (о каком-либо явлении)"
信,xìn,верить; доверять; доверие; исповедовать; веровать; письмо
星期,xīngqī,неделя
行李箱,xínglǐxiāng,чемодан
姓,xìng,фамилия; по фамилии
兴趣,xìngqù,интерес
熊猫,xióngmāo,бамбуковый медведь; большая панда
休息,xiūxi,отдыхать; отдых; перерыв; антракт
需要,xūyào,"требоваться, быть потребным; нуждаться; необходимо"
选择,xuǎnzé,выбирать; отбирать; выбор
学生,xuésheng,студент; ученик; учащийся
学习,xuéxí,"учиться; обучаться; обучение, учёба"
学校,xuéxiào,школа; учебное заведение; училище
雪,xuě,снег
颜色,yánsè,цвет; окраска
眼镜,yǎnjìng,очки
眼睛,yǎnjing,глаза
羊肉,yángròu,баранина
要求,yāoqiú,требовать; добиваться
药,yào,лекарство; медикаменты; лекарственный
要,yào,"хотеть, желать; нужно, необходимо; просить; требовать"
爷爷,yéye,дедушка
也,yě,"тоже, также; и"
一,yī,один; единица; первый
衣服,yīfu,одежда; платье; костюм
医生,yīsheng,"врач, доктор"
医院,yīyuàn,больница; госпиталь
一定,yīdìng,"непременно, обязательно; обязательный"
一共,yīgòng,всего; итого
一会儿,yīhuìr,минутка; на минуту; немного; немножко
一样,yīyàng,"одинаковый; такой же, как"
以后,yǐhòu,"после; потом; после того, как"
以前,yǐqián,"раньше, прежде"
以为,yǐwéi,"полагать, считать"
已经,yǐjīng,уже
椅子,yǐzi,стул
一般,yībān,"обычный, простой, рядовой, заурядный; средний"
一边,yībiān,одна сторона; с одной стороны; в удвоении (и)... и...
一起,yīqǐ,вместе; совместно; сообща
一直,yīzhí,"прямо, напрямик; всё время, всегда"
意思,yìsi,"мысль; идея; смысл, значение; интерес"
阴,yīn,"""инь"" (женское начало в древней китайской философии); тёмный; пасмурный; тень"
因为,yīnwèi,"так как, потому что; вследствие того, что; ибо"
音乐,yīnyuè,музыка; музыкальный
银行,yínháng,банк; банковский
应该,yīnggāi,"следует, должно; нужно; полагается"
影响,yǐngxiǎng,влиять; оказывать влияние; воздействовать
用,yòng,"употреблять, использовать; применять"
游戏,yóuxì,"игра, забава; играть, забавляться"
游泳,yóuyǒng,плавать; плавание
有,yǒu,иметь(ся); иметь в наличии; обладать; есть
有名,yǒumíng,"известный, знаменитый"
又,yòu,"опять, снова; да ещё; притом"
右边,yòubian,правая сторона; справа; правый
鱼,yú,рыба; рыбный; рыбий
遇到,yùdào,"встретить(ся); столкнуться (напр., с трудностями)"
元,yuán,юань
远,yuǎn,далёкий; дальний; далеко
愿意,yuànyì,желать; хотеть
月,yuè,луна; месяц
月亮,yuèliang,луна; месяц
越,yuè,превысить
云,yún,облако; туча
运动,yùndòng,спорт; атлетика; спортивный
在,zài,быть в живых; существовать; находиться; в; на
再,zài,снова; опять; ещё
再见,zàijiàn,до свидания
早上,zǎoshang,"утром, спозаранку"
怎么,zěnme,"как?, каким образом?"
怎么样,zěnmeyàng,"как, каким образом; каков"
站,zhàn,стоять; встать (на ноги); остановиться; остановка; станция; вокзал
张,zhāng,"раскрывать; открывать; сч. сл. для листов, столов, кроватей"
丈夫,zhàngfū,муж; настоящий мужчина
着急,zháojí,волноваться; беспокоиться; торопиться; спешить
找,zhǎo,искать; разыскивать; отыскивать
照顾,zhàogu,заботиться; беспокоиться; ухаживать
照片,zhàopiàn,фотография
照相机,zhàoxiàngjī,фотоаппарат
这,zhè,"это, этот"
着,zhe,"глагольный суффикс, указывающий на продолженный характер действия или состояния"
真,zhēn,настоящий; истинный; подлинный; достоверный; действительный
正在,zhèngzài,"перед глаголом указывает на то, что действие происходит в данный момент"
知道,zhīdao,знать; иметь представление
只,zhǐ,только; лишь; всего лишь; только лишь
中国,zhōngguó,Китай; китайский
中间,zhōngjiān,посередине; между; среди
中午,zhōngwǔ,полдень
终于,zhōngyú,в конечном счёте; в конечном итоге; в конце концов
种,zhǒng,семя; семена; порода; род; вид; раса
重要,zhòngyào,важный
周末,zhōumò,конец недели; уик-энд
主要,zhǔyào,главный; основной
住,zhù,"жить, проживать"
祝,zhù,"желать (напр., счастья); поздравлять"
注意,zhùyì,обращать [уделять] внимание; внимание
准备,zhǔnbèi,готовить; подготавливать; быть готовым; подготовка
桌子,zhuōzi,стол
字,zì,иероглиф; слово
字典,zìdiǎn,словарь
自己,zìjǐ,сам; себя; свой; собственный
自行车,zìxíngchē,велосипед
总是,zǒngshì,всегда; всё время
走,zǒu,идти; ходить
最,zuì,самый; больше всего
最近,zuìjìn,за последнее время; совсем недавно; последний
昨天,zuótiān,вчера; вчерашний день
左边,zuǒbian,левая сторона; налево; слева; влево
坐,zuò,сидеть; садиться; ехать на [в]
做,zuò,делать; изготавливать; быть [работать] кем-либо; писать
作业,zuòyè,работа; задание
作用,zuòyòng,роль; значение
