Слово,Транскрипция,Перевод
厨房,chúfáng,кухня
除了,chúle,кроме; помимо; кроме как; за исключением
穿,chuān,одевать; надевать; носить
船,chuán,"судно, корабль; пароход; лодка"
传真,chuánzhēn,факс
窗户,chuānghu,окно
春,chūn,весна; весенний
词典,cídiǎn,словарь
词语,cíyǔ,обороты речи; выражения
次,cì,раз
聪明,cōngming,умный; способный
从,cóng,из; от; с
从来,cónglái,всегда; (с последующим отрицанием) никогда
粗心,cūxīn,небрежный; небрежно; невнимательно
错,cuò,неправильный; ошибочный; ошибаться; ошибочно
答案,dá’àn,ответ; решение
打扮,dǎban,"наряд, одежда; наружность, внешний облик"
打电话,dǎ diànhuà,звонить по телефону
打篮球,dǎ lánqiú,играть в баскетбол
打扰,dǎrǎo,"тревожить, беспокоить"
打扫,dǎsǎo,подметать; убирать
打算,dǎsuan,"рассчитывать, предполагать, намереваться; намерение"
打印,dǎyìn,печатать; ставить печать; штемпелевать
打折,dǎzhé,сделать скидку
打针,dǎzhēn,сделать укол
大,dà,большой; крупный; величина; размер
大概,dàgài,вероятно; наверное; в общих чертах; приблизительно
大家,dàjiā,все; все вместе
大使馆,dàshǐguǎn,посольство
大约,dàyuē,приблизительно; около
带,dài,лента; пояс; ремень; принести; занести; отнести
戴,dài,"носить; надевать (головной убор, перчатки, украшения и т.п.)"
代表,dàibiǎo,представитель; делегат; депутат
代替,dàitì,"заменять; вместо, за"
大夫,dàifu,доктор; врач
担心,dānxīn,"беспокоиться, тревожиться; опасаться"
蛋糕,dàngāo,пирожное
但是,dànshì,но; однако; тем не менее
当,dāng,"быть, являться; становиться кем-либо"
当地,dāngdì,данное место; местный
当时,dàngshí,"сейчас же, тут же, немедленно"
刀,dāo,нож; меч; бритва; резец
导游,dǎoyóu,гид; экскурсовод
到,dào,"доходить, достигать; прибывать; приходить; наступать (о времени)"
到处,dàochù,везде; повсюду
到底,dàodǐ,"в конце концов, в конечном счёте, всё-таки"
道歉,dàoqiàn,принести извинения; извиниться
得意,déyì,довольный; быть довольным; самодовольный
地,de,показатель обстоятельства образа действия
的,de,суффикс прилагательного; суффикс притяжательности
得,de,"показатель обстоятельства, следующего за сказуемым; глагольный инфикс, выражающий возможность совершения действия"
得,děi,"должно, следует; необходимо"
灯,dēng,лампа; фонарь; светильник
等,děng,"ожидать, ждать"
等,děng,сорт; класс; разряд; качество; степень
底,dǐ,дно; низ; нижний; конец
弟弟,dìdi,младший брат
地方,dìfang,пространство; место
地球,dìqiú,земной шар; Земля
地铁,dìtiě,"метро, метрополитен"
地图,dìtú,карта (географическая)
地址,dìzhǐ,адрес
第一,dìyī,первый; во-первых; первейший; номер один
点,diǎn,"капля; немножко, чуточку; точка"
电脑,diànnǎo,компьютер
电视,diànshì,телевидение; телевизионный
电梯,diàntī,лифт; эскалатор
电影,diànyǐng,кино
电子邮件,diànzǐ yóujiàn,электронная почта
掉,diào,падать; выпадать; ронять; терять
调查,diàochá,обследовать; обследование
丢,diū,потерять; утратить
东,dōng,восток; восточный; хозяин
东西,dōngxi,вещь; предмет
懂,dǒng,"понять, уразуметь"
动物,dòngwù,животное; животный
动作,dòngzuò,движение; телодвижение
都,dōu,все; всё
读,dú,читать; зачитывать
堵车,dǔchē,"пробка, затор"
肚子,dùzi,"живот, брюхо"
短,duǎn,короткий; краткий
段,duàn,отрезок; кусок; часть
低,dī,низкий; низко
断,duàn,перерезать; разорвать(ся); переломить(ся)
锻炼,duànliàn,закаливать; закалка
对,duì,"правильный, верный; правильно!, верно!"
对,duì,"быть направленным против [на]; против, напротив; противоположенный"
对不起,duìbuqǐ,"виноват!, простите!, извините!"
对话,duìhuà,диалог
对面,duìmiàn,напротив; против
顿,dùn,сч. сл. для приёмов пищи; раз
多,duō,много; свыше; более; сколько
多么,duōme,"так, до такой степени; насколько же...!"
多少,duōshao,сколько?
朵,duǒ,цветок
饿,è,быть голодным; голодать; голод
而,ér,и; да; к тому же; а; но
而且,érqiě,"к тому же, притом"
儿童,értóng,дети; ребята; детский
儿子,érzi,сын
耳朵,ěrduo,ухо
二,èr,два; второй
发,fā,выпускать; выдавать; отправлять
发烧,fāshāo,температурить; температура; жар
发生,fāshēng,возникнуть; случиться; произойти; возникновение; появление
发现,fāxiàn,обнаружить; заметить
发展,fāzhǎn,развивать(ся); развитие
法律,fǎlǜ,закон; право; правовой; юридический
翻译,fānyì,переводить; перевод
烦恼,fánnǎo,быть удручённым; огорчения; неприятности
反对,fǎnduì,возражать; противодействовать; против
反映,fǎnyìng,"отображать, отражать; отображение, отражение"
饭馆,fànguǎn,ресторан; столовая
范围,fànwéi,"сфера; пределы, рамки, границы"
方便,fāngbiàn,удобный; удобство
方法,fāngfǎ,"метод, способ; средство; приём"
方面,fāngmiàn,сторона
方向,fāngxiàng,направление; курс
房间,fángjiān,комната; номер
访问,fǎngwèn,наносить визит; навещать; посещать; визит
放,fàng,отпускать; выпускать; ставить; класть; помещать
放弃,fàngqì,"отказаться, отбросить; оставить; утратить"
放暑假,fàngshǔjià,идти на летние каникулы
放心,fàngxīn,"не беспокоиться, быть спокойным; успокоиться"
非常,fēicháng,чрезвычайный; необыкновенный
飞机,fēijī,самолёт
分,fēn,делить(ся); разделять(ся); выделять; минута
分之,fēnzhī,дробная часть
分钟,fēnzhōng,минута
份,fèn,часть; пай; доля; порция
丰富,fēngfù,"богатый, обильный; обилие"
风景,fēngjǐng,"вид, пейзаж, ландшафт"
否则,fǒuzé,в противном случае; иначе
符合,fúhé,соответствовать; совпадать; отвечать чему-либо
服务员,fúwùyuán,обслуживающий персонал; официант
富,fù,богатый; разбогатеть
附近,fùjìn,"окрестности; вблизи, около"
父亲,fùqīn,отец
复习,fùxí,повторять; повторение
复印,fùyìn,размножать; копировать
复杂,fùzá,сложный
负责,fùzé,нести ответственность; отвечать за что-либо; ответственный
改变,gǎibiàn,"изменять, переменять; преобразовывать"
干杯,gānbēi,"выпить до капли, осушить бокал; пей до дна!"
干净,gānjìng,чистый; опрятный
干燥,gānzào,сухой; засушливый
敢,gǎn,сметь; осмелиться; мочь
感觉,gǎnjué,"чувство, ощущение; чувствовать, ощущать"
感冒,gǎnmào,простудиться; простудное заболевание
感情,gǎnqíng,чувство; эмоция
感谢,gǎnxiè,благодарить; благодарность
干,gàn,делать; заниматься (делами)
刚才,gāngcái,только что
刚刚,gānggāng,"только что, только-только"
高,gāo,высокий; высота; высоко-
高级,gāojí,"высший (напр., о руководстве); высокосортный; высококачественный"
高兴,gāoxìng,радоваться; радостный
告诉,gàosu,сказать; сообщить
哥哥,gēge,старший брат
各,gè,каждый; всякий; все; различный
个,gè,универсальное сч. сл.; отдельный; индивидуальный
个子,gèzi,"рост, комплекция"
给,gěi,давать; предоставлять
跟,gēn,и; с; за; у
根据,gēnjù,"данные, доказательства; база, основания"
更,gèng,ещё; ещё более; тем более
公共汽车,gōnggòng qìchē,автобус
公斤,gōngjīn,килограмм
公里,gōnglǐ,километр
感动,gǎndòng,"растрогаться, расчувствоваться"
公司,gōngsī,компания; фирма
公园,gōngyuán,парк
工具,gōngjù,инструмент; орудие (производства)
工资,gōngzī,заработная плата
工作,gōngzuò,работать; работа
共同,gòngtóng,"совместный, общий; совместно, сообща"
狗,gǒu,собака; собачий
够,gòu,"достаточно, довольно; хватает"
购物,gòuwù,"торговый, коммерческий"
孤单,gūdān,одинокий; одиночество
估计,gūjì,оценивать; прикидывать; оценка
鼓励,gǔlì,воодушевлять; ободрять; поощрять
鼓掌,gǔzhǎng,аплодировать; аплодисменты
顾客,gùkè,покупатель; клиент
故事,gùshì,сказание; сказка; рассказ; история
故意,gùyì,намеренно; умышленно; нарочно
刮风,guāfēng,дует ветер; ветрено
挂,guà,вешать; вывешивать; висеть; висячий
关,guān,"закрывать, затворять; выключать"
关键,guānjiàn,решающий фактор; ключ; ключевой; решающий
关系,guānxi,связь; отношение; касаться; иметь отношение к; затрагивать
关心,guānxīn,заботиться; принимать участие в ком-либо; уделять внимание; интересоваться
关于,guānyú,"относительно, в отношении, что касается; об, о"
观众,guānzhòng,зрители; публика
管理,guǎnlǐ,управлять; заведовать; ведать; управление
光,guāng,свет; излучение; блеск; сияние
广播,guǎngbō,радиовещание; передавать по радио
广告,guǎnggào,объявление; реклама; афиша
逛,guàng,"прогуливаться, прохаживаться; гулять; шоппинг"
规定,guīdìng,устанавливать; определять; предусматривать
贵,guì,дорогой; ценный
国际,guójì,международный; интернациональный
国家,guójiā,государство; страна; государственный
果然,guǒrán,"действительно, в самом деле"
果汁,guǒzhī,фруктовый сок
过,guò,переходить; пересекать; отмечать; справлять
过,guō,"превосходить, превышать; чересчур, слишком"
过程,guòchéng,процесс; ход (дела)
过去,guòqù,проходить; миновать
还,hái,ещё; всё ещё
还,huán,возвратить; вернуть; отдать
还是,háishi,ещё; всё ещё
孩子,háizi,"ребёнок, дитя"
海洋,hǎiyáng,моря и океаны; морской
害怕,hàipà,бояться; трусить
害羞,hàixiū,стесняться; конфузиться; стыдиться; смущаться; смущение; стыд
寒假,hánjià,зимние каникулы
汗,hàn,пот; испарина
汉语,hànyǔ,китайский язык
航班,hángbān,рейс; номер рейса
好,hǎo,хороший; хорошо
好吃,hǎochī,вкусный
好处,hǎochu,"польза, выгода, толк, прок, добро"
好像,hǎoxiàng,"подобный; как будто; словно [бы]; похоже, что..."
号,hào,номер; размер; число (месяца)
号码,hàomǎ,номер
喝,hē,пить
和,hé,мирный; дружественный; союз и; предлог с
河,hé,река; речной
合格,hégé,соответствовать стандарту [норме]; отвечать требованиям
合适,héshì,подходить; подходящий; в самый раз
盒子,hézi,ящик; коробка
黑,hēi,чёрный; тёмный; мрачный
黑板,hēibǎn,классная доска
很,hěn,очень; весьма
红,hóng,красный; краснеть; алеть
猴子,hóuzi,обезьяна
厚,hòu,толстый (о плоских предметах)
后悔,hòuhuǐ,раскаиваться; сожалеть; раскаяние
后来,hòulái,"потом, впоследствии, затем"
后面,hòumiàn,"задняя сторона; зад; позади, сзади; задний"
忽然,hūrán,"вдруг, внезапно, неожиданно"
护士,hùshi,"медицинская сестра, медсестра"
护照,hùzhào,паспорт
互相,hùxiāng,взаимно; взаимный; взаимо-
花,huā,цветок; цветы
花园,huāyuán,сад
画,huà,картина; рисунок; рисовать
怀疑,huáiyí,сомневаться; сомнение
坏,huài,плохой; негодный; дурной; испортиться; сломаться
欢迎,huānyíng,приветствовать; встречать
环境,huánjìng,обстановка; положение; окружение; среда; окружающая среда
换,huàn,менять; обменивать; разменивать
黄,huáng,жёлтый; желтеть
回,huí,возвращаться; обратный
回答,huídá,отвечать; ответ
回忆,huíyì,вспоминать; воспоминание
会,huì,собрание; заседание; уметь; мочь; владеть
会议,huìyì,собрание; конференция; заседание; совещание
活动,huódòng,действовать; действие; деятельность; мероприятие
活泼,huópo,живой; бойкий; подвижный
火,huǒ,огонь; пламя
火车站,huǒchēzhàn,вокзал; железнодорожная станция
获得,huòdé,получить; достигнуть; добиться
或者,huòzhě,"или, либо"
当然,dāngrán,"конечно, естественно"
机场,jīchǎng,аэродром
机会,jīhuì,"удобный случай, благоприятная возможность"
基础,jīchǔ,основа; база; фундамент; устои
鸡蛋,jīdàn,куриное яйцо
激动,jīdòng,возбуждать; волновать; зажигать
几乎,jīhū,почти; почти что; едва не
积极,jījí,активный; активно
积累,jīlěi,"накапливать, копить, скапливать"
极,jí,чрезвычайно; крайне; в высшей степени
极其,jíqí,чрезвычайно; крайне; исключительно
集合,jíhé,собирать(ся); сосредоточивать(ся)
及时,jíshí,вовремя; своевременно
即使,jíshǐ,пусть (даже); если даже; даже если
几,jǐ,сколько?; несколько; немного
寄,jì,отправлять; посылать
记得,jìde,помнить
记者,jìzhě,корреспондент; репортёр; журналист
计划,jìhuà,план; планировать; плановый
季节,jìjié,сезон; пора; сезонный
既然,jìrán,раз (уж); поскольку
技术,jìshù,техника; технология
继续,jìxù,продолжать(ся); продолжение
家,jiā,семья; семейство; дом; домашний
家具,jiāju,мебель; утварь
加班,jiābān,работать сверхурочно; сверхурочная работа
加油站,jiāyóuzhàn,бензозаправочная станция; бензоколонка
假,jiǎ,ложный; фальшивый; поддельный; фиктивный; притворный; лже-; псевдо-
价格,jiàgé,цена
坚持,jiānchí,твёрдо придерживаться; твёрдо стоять на чём-либо; отстаивать
检查,jiǎnchá,проверять; контролировать; осматривать; осмотр; проверка
简单,jiǎndān,простой; примитивный
减肥,jiǎnféi,худеть; похудание
减少,jiǎnshǎo,уменьшать; сокращать
件,jiàn,"сч. сл. для предметов одежды, дел, вещей, документов и т.п."
健康,jiànkāng,здоровье
见面,jiànmiàn,встретиться; увидеться
将来,jiānglái,будущий; в будущем; будущее
讲,jiǎng,говорить; рассказывать; сказать
奖金,jiǎngjīn,денежная награда; премия; премиальные
降低,jiàngdī,снизить(ся); понизить(ся); снижение; понижение
教,jiāo,обучать; преподавать
交,jiāo,сдавать; отдавать; водить знакомство
交流,jiāoliú,"обмениваться (напр., опытом); переменный"
交通,jiāotōng,связь; сообщение; коммуникации; пути сообщения
骄傲,jiāo’ào,"гордиться, зазнаваться; задирать нос; зазнайство; высокомерие"
角,jiǎo,рог; угол; уголок; угловой
脚,jiǎo,"нога, ступня; ножка (напр., стула)"
饺子,jiǎozi,пельмени
叫,jiào,"кричать; крик; звать; подзывать; вызывать; звать(ся), называть(ся)"
教授,jiàoshì,класс; аудитория
教授,jiàoshòu,профессор
教育,jiàoyù,"просвещение, образование"
接,jiē,получать; принимать; встречать
接受,jiēshòu,"принимать, получать"
街道,jiēdào,улица; уличный; квартал
结果,jiéguǒ,"результат, итог; в результате, в итоге; приносить плоды, плодоносить"
结婚,jiéhūn,вступить в брак; сочетаться браком; жениться; выйти замуж
结束,jiéshù,закончить(ся); завершить; кончить; заключительный
节目,jiémù,номер (программы); программа
节日,jiérì,праздник
节约,jiéyuē,экономить; беречь; экономия; бережливость
姐姐,jiějie,старшая сестра; сестрица
解决,jiějué,"решать, разрешать"
解释,jiěshì,"объяснять, разъяснять; толковать; толкование"
借,jiè,брать взаймы [в пользование]; брать в долг; занимать
介绍,jièshào,рекомендовать; знакомить с кем-либо/чем-либо; ознакомлять
今天,jīntiān,сегодня; нынешний день
尽管,jǐnguǎn,смело; прямо; хотя (и); несмотря на; пусть (даже)
紧张,jǐnzhāng,напрягать(ся); напряжение; взволнованность
近,jìn,"близкий, вблизи; рядом"
进,jìn,идти [продвигаться] вперёд; входить
进行,jìnxíng,проводить; осуществлять; ход; продвижение
禁止,jìnzhǐ,"запрещать; воспрещать; запрещение, запрет"
精彩,jīngcǎi,замечательный; интересный; эффектный
精神,jīngshén,дух; духовный; моральный; нравственный
经常,jīngcháng,постоянный; неизменный; обычный; обычно; постоянно
经过,jīngguò,"проходить (через, сквозь, мимо); через; путём, посредством; с помощью; в результате"
经济,jīngjì,экономика; хозяйство; экономический; хозяйственный
经理,jīnglǐ,директор; управляющий; заведующий
经历,jīnglì,"испытать, пережить; пережитое"
经验,jīngyàn,опыт
京剧,jīngjù,пекинская музыкальная драма
警察,jǐngchá,полиция; полицейский
竟然,jìngrán,"в конце концов, в итоге; оказываться"
竞争,jìngzhēng,конкурировать; соперничать; конкуренция
镜子,jìngzi,зеркало
究竟,jiūjìng,"в конце концов, в конечном счёте; всё-таки"
九,jiǔ,девять; девятый
久,jiǔ,долго; давно; длительное время
旧,jiù,старый; прежний
就,jiù,"именно, как раз; сейчас же, немедленно"
举办,jǔbàn,создать; организовать; основать
举行,jǔxíng,проводить; устраивать
拒绝,jùjué,отказываться; отвергать
距离,jùlí,отстоять от; расстояние; дистанция
句子,jùzi,предложение; фраза
觉得,juéde,"чувствовать, ощущать; сознавать"
决定,juédìng,решить; определить; установить; решающий
咖啡,kāfēi,кофе
开,kāi,открывать; раскрывать; отворять; начинать; управлять; вести
开始,kāishǐ,начинать; начало
开玩笑,kāi wánxiào,шутить; подшучивать; разыгрывать
看,kàn,смотреть; просматривать; читать
看法,kànfǎ,точка зрения; подход; взгляд; мнение
看见,kànjiàn,увидеть; видеть
考虑,kǎolǜ,"обдумывать; взвешивать; учитывать, принимать во внимание"
考试,kǎoshì,экзамен; экзамены
棵,kē,сч. сл. для деревьев
科学,kēxué,наука; научный
咳嗽,késou,кашлять; кашель
渴,kě,испытывать жажду; жажда
可爱,kě’ài,славный; милый; очаровательный
可怜,kělián,жалкий; ничтожный; жалеть; сжалиться
可能,kěnéng,возможно; возможный; возможность
可是,kěshì,"а, но, однако; впрочем"
可惜,kěxī,к сожалению; жаль; достойный сожаления
可以,kěyǐ,мочь; можно; сносно; сойдёт
刻,kè,четверть часа
客人,kè,"предмет, дисциплина; лекция; урок"
客人,kèrén,гость; приглашённый; пассажир
肯定,kěndìng,"утвердительный; положительный; несомненно, безусловно"
空气,kōngqì,"воздух, атмосфера"
空调,kōngtiáo,кондиционер
恐怕,kǒngpà,"бояться, опасаться"
口,kǒu,рот; сч. сл. для членов семьи
哭,kū,плакать; оплакивать
苦,kǔ,горький; горечь; тяжёлый
裤子,kùzi,брюки
快,kuài,"быстрый, скорый; радостный, весёлый"
块,kuài,кусок; глыба
快乐,kuàilè,весёлый; радостный; весело
筷子,kuàizi,палочки для еды
宽,kuān,широкий; просторный; ширина
困,kùn,"утомиться, устать"
困难,kùnnan,"трудность; трудный, тяжёлый"
扩大,kuòdà,увеличивать; расширять; расширенный
拉,lā,"тянуть, тащить; растягивать; вытягивать"
垃圾桶,lājītǒng,мусорное ведро
辣,là,горький; острый
来,lái,приходить; прибывать; приносить; подавать
来不及,láibují,не успеть
来得及,láidejí,успеть
蓝,lán,синий
懒,lǎn,ленивый; лениться
浪费,làngfèi,транжирить; растрачивать; напрасно тратить; расточительство
浪漫,làngmàn,романтический; романтичный
老,lǎo,"старый; стариться, стареть; старость"
老虎,lǎohǔ,тигр
老师,lǎoshī,учитель; преподаватель
了,le,глагольный суффикс завершенности действия
累,lèi,уставать; утомлять(ся)
冷,lěng,холодный; холодно; холод
冷静,lěngjìng,"хладнокровный, невозмутимый; трезвый; хладнокровие"
离,lí,отстоять от; от; покидать; расставаться
离开,líkāi,"оставить, покинуть; уйти (из); расстаться"
里,lǐ,внутри; в
理发,lǐfà,стричься; причёсываться
理解,lǐjiě,"понимать, осмысливать: уяснять"
理想,lǐxiǎng,идеал; идеалы; идеальный
礼貌,lǐmào,вежливость; приличия; вежливый
礼物,lǐwù,подарок; подношение
厉害,lìhai,"вредный, опасный; критический (о болезни); лютый, жестокий, безжалостный, зверский; ярый, лихой; крутой, сильный"
力气,lìqi,физическая сила
例如,lìrú,например
历史,lìshǐ,история; исторический
俩,liǎ,"два, оба; вдвоём"
连,lián,вместе (с); даже
联系,liánxì,связывать(ся); вступать в контакт; связь
脸,liǎn,лицо
练习,liànxí,"тренироваться, упражняться; упражнение"
凉快,liángkuai,прохладный; прохладно
两,liǎng,два; пара; оба
亮,liàng,светлый; яркий
辆,liàng,сч. сл. для колёсного транспорта
聊天,liáotiān,"болтать, трепаться, судачить"
了解,liǎojiě,понимать; понимание
邻居,línjū,сосед
零,líng,ноль; нолевой
另外,lìngwài,"кроме того, сверх того"
留,liú,остаться; задержаться
留学,liúxué,учиться за границей
流泪,liúlèi,проливать (ронять) слёзы
流利,liúlì,"бегло, свободно"
流行,liúxíng,быть в моде; иметь хождение [распространение]; модный
六,liù,шесть; шестой
楼,lóu,здание; дом; этаж
路,lù,дорога; путь; маршрут (транспорта)
乱,luàn,"беспорядочный, хаотичный; хаотично, беспорядочно; как попало"
旅游,lǚyóu,туризм; туристический
绿,lǜ,зелёный
律师,lǜshī,адвокат
妈妈,māma,мама
麻烦,máfan,хлопотливый; беспокойный; хлопоты; беспокойство
马,mǎ,лошадь; конь
马虎,mǎhu,"небрежно; спустя рукава, как попало"
马上,mǎshàng,"тотчас, немедленно; тут же, сразу; сейчас"
吗,ma,"фразовая частица, выражающая вопрос"
买,mǎi,"покупать, приобретать"
卖,mài,продавать; торговать
满,mǎn,полный; доверху; наполнять
满意,mǎnyì,быть довольным; довольный; удовлетворение
慢,màn,медленный; медлить; отставать
忙,máng,быть занятым; хлопотать
猫,māo,кошка
毛巾,máojīn,шерстяной шарф; мохнатое (махровое) полотенце
帽子,màozi,"головной убор; шапка, шляпа"
没,méi,"отрицательная частица; как правило, употребляется с глаголами прошедшего времени не"
没关系,méi guānxi,неважно; ничего; пустяки
每,měi,"каждый, всякий"
美丽,měilì,красивый; очаровательный; прекрасный
妹妹,mèimei,младшая сестра
门,mén,дверь; ворота; вход
梦,mèng,сон; сновидение; грёзы
米,mǐ,рис; метр
米饭,mǐfàn,варёный рис
密码,mìmǎ,шифр; код
免费,miǎnfèi,бесплатный
面包,miànbāo,хлеб; булка
面条,miàntiáo,лапша
民族,mínzú,нация; национальность; национальный
明白,míngbai,"ясный, понятный; ясно, понятно"
明天,míngtiān,завтра; завтрашний день
名字,míngzi,"имя (человека); кличка (животного); наименование, название"
母亲,mǔqīn,мать
目的,mùdì,цель
拿,ná,брать; взять; держать; нести
哪,nǎ,какой; который
那,nà,"тот; то; тогда, в таком случае"
奶奶,nǎinai,бабушка
耐心,nàixīn,терпеливый; терпеливо; терпение
南,nán,юг; южный
难,nán,трудный; тяжёлый; трудно; трудность
难道,nándào,"неужели, разве"
难过,nánguò,трудно пережить
难受,nánshòu,трудно вынести; невозможно вытерпеть
男人,nánrén,мужчина
呢,ne,"фразовая частица, выражающая вопрос же?; фразовая частица, выражающая подчёркнутое утверждение"
内,nèi,внутренний
内容,nèiróng,содержание; содержимое
能,néng,способный; способность; мочь; быть в состоянии
能力,nénglì,способность; сила
你,nǐ,ты; вы; твой; ваш
年,nián,год; годы; возраст
年级,niánjí,"класс, курс"
年龄,niánlíng,возраст
年轻,niánqīng,молодой; молодость
鸟,niǎo,птица; птицы
您,nín,Вы; Вам
牛奶,niúnǎi,молоко
农村,nóngcūn,деревня; село; деревенский
弄,nòng,"играть; забавляться; делать, сделать"
努力,nǔlì,прилагать усилия; стараться; старательный; усилия
暖和,nuǎnhuo,тёплый; тепло; теплеть
女儿,nǚ’er,дочь
女人,nǚrén,женщина
偶尔,ǒu’ěr,"иногда; время от времени, по временам"
爬山,páshān,восходить на горы; альпинизм
排列,páiliè,расставлять [ставить] по порядку
盘子,pánzi,тарелка; блюдо; поднос
判断,pànduàn,"определять, решать; определение, решение; судить, оценивать; полагать, считать"
旁边,pángbiān,сбоку; рядом; около
胖,pàng,толстый; полный; тучный
跑步,pǎobù,бег
陪,péi,составить компанию; занимать (гостей); сопровождать
朋友,péngyou,друг; приятель; друзья
批评,pīpíng,критиковать; критика
皮肤,pífū,"кожа, кожный покров"
啤酒,píjiǔ,пиво
脾气,píqi,характер; нрав; норов
篇,piān,глава; раздел; часть
便宜,piányi,дешёвый
骗,piàn,обманывать; выманивать
票,piào,билет; талон; квитанция
漂亮,piàoliang,красивый
乒乓球,pīngpāngqiú,"настольный теннис, пинг-понг"
苹果,píngguǒ,яблоко
平时,píngshí,обычно; в обычное время; обычный; будничный
瓶子,píngzi,бутылка; флакон
破,pò,сломать; разрушить; порвать; поранить
葡萄,pútao,виноград
普遍,pǔbiàn,всеобщий; универсальный; распространённый
普通话,pǔtōnghuà,путунхуа
七,qī,семь; седьмой
妻子,qīzi,жена
