Слово,Транскрипция,Перевод
喜欢,xǐhuan,нравиться; любить
下,xià,"нижний; низ; послелог под, при; следующий"
下午,xiàwǔ,"вторая половина дня, после полудня"
下雨,xiàyǔ,идёт дождь; стоит дождливая погода
先生,xiānsheng,господин; мистер
现在,xiànzài,теперь; сейчас; ныне
想,xiǎng,думать; собираться; хотеть
向,xiàng,быть обращённым к; направление; курс
小,xiǎo,маленький; мелкий; малый; молодой; младший
小姐,xiǎojie,барышня; мисс
小时,xiǎoshí,час
笑,xiào,смеяться; смех; улыбаться; улыбка
些,xiē,"немного, несколько"
写,xiě,писать; записывать; описывать
谢谢,xièxie,"спасибо, благодарю; благодарить"
新,xīn,новый; современный; свежий
星期,xīngqī,неделя
姓,xìng,фамилия; по фамилии
休息,xiūxi,отдыхать; отдых; перерыв; антракт
学生,xuésheng,студент; ученик; учащийся
学习,xuéxí,"учиться; обучаться; обучение, учёба"
学校,xuéxiào,школа; учебное заведение; училище
雪,xuě,снег
颜色,yánsè,цвет; окраска
眼睛,yǎnjing,глаза
羊肉,yángròu,баранина
药,yào,лекарство; медикаменты; лекарственный
要,yào,"хотеть, желать; нужно, необходимо; просить; требовать"
也,yě,"тоже, также; и"
一,yī,один; единица; первый
衣服,yīfu,одежда; платье; костюм
医生,yīsheng,"врач, доктор"
医院,yīyuàn,больница; госпиталь
已经,yǐjīng,уже
椅子,yǐzi,стул
一起,yīqǐ,вместе; совместно; сообща
意思,yìsi,"мысль; идея; смысл, значение; интерес"
阴,yīn,"""инь"" (женское начало в древней китайской философии); тёмный; пасмурный; тень"
因为,yīnwèi,"так как, потому что; вследствие того, что; ибо"
游泳,yóuyǒng,плавать; плавание
有,yǒu,иметь(ся); иметь в наличии; обладать; есть
右边,yòubian,правая сторона; справа; правый
鱼,yú,рыба; рыбный; рыбий
元,yuán,юань
远,yuǎn,далёкий; дальний; далеко
月,yuè,луна; месяц
运动,yùndòng,спорт; атлетика; спортивный
在,zài,быть в живых; существовать; находиться; в; на
再,zài,снова; опять; ещё
再见,zàijiàn,до свидания
早上,zǎoshang,"утром, спозаранку"
怎么,zěnme,"как?, каким образом?"
怎么样,zěnmeyàng,"как, каким образом; каков"
张,zhāng,"раскрывать; открывать; сч. сл. для листов, столов, кроватей"
丈夫,zhàngfū,муж; настоящий мужчина
找,zhǎo,искать; разыскивать; отыскивать
这,zhè,"это, этот"
着,zhe,"глагольный суффикс, указывающий на продолженный характер действия или состояния"
真,zhēn,настоящий; истинный; подлинный; достоверный; действительный
正在,zhèngzài,"перед глаголом указывает на то, что действие происходит в данный момент"
知道,zhīdao,знать; иметь представление
中国,zhōngguó,Китай; китайский
中午,zhōngwǔ,полдень
住,zhù,"жить, проживать"
准备,zhǔnbèi,готовить; подготавливать; быть готовым; подготовка
桌子,zhuōzi,стол
字,zì,иероглиф; слово
自行车,zìxíngchē,велосипед
走,zǒu,идти; ходить
最,zuì,самый; больше всего
昨天,zuótiān,вчера; вчерашний день
左边,zuǒbian,левая сторона; налево; слева; влево
坐,zuò,сидеть; садиться; ехать на [в]
做,zuò,делать; изготавливать; быть [работать] кем-либо; писать
